SKU,txn_count,unique_price_points
JNE3797-KR-L,773,7
JNE3797-KR-M,657,8
JNE3797-KR-S,587,8
JNE3405-KR-L,535,4
J0230-SKD-M,507,11
JNE3797-KR-XL,474,8
J0230-SKD-S,452,10
JNE3405-KR-S,443,4
JNE3797-KR-XS,431,7
JNE3797-KR-XXL,395,6
JNE3405-KR-M,394,4
SET268-KR-NP-S,387,3
SET268-KR-NP-XL,386,3
JNE3797-KR-XXXL,386,6
SET268-KR-NP-L,362,3
SET183-KR-DH-M,343,3
J0003-SET-S,334,6
JNE3567-KR-M,317,4
SET324-KR-NP-M,305,7
J0230-SKD-L,297,11
J0341-DR-M,295,10
J0341-DR-L,292,9
JNE3373-KR-XXXL,284,4
J0003-SET-M,284,7
JNE3399-KR-M,281,4
J0341-DR-S,278,6
SET345-KR-NP-M,272,7
J0003-SET-XS,252,7
JNE3405-KR-XXXL,247,4
SET324-KR-NP-L,243,6
J0230-SKD-XL,241,10
J0003-SET-XXXL,235,6
JNE3405-KR-XS,234,4
JNE3368-KR-XXL,228,3
J0230-SKD-XS,228,9
JNE3373-KR-XXL,227,4
SET345-KR-NP-L,216,8
J0003-SET-XXL,215,7
JNE3399-KR-XL,213,4
JNE3291-KR-XL,213,5
J0341-DR-XL,213,10
SET291-KR-PP-M,210,6
JNE3405-KR-XL,209,4
J0341-DR-XXL,209,6
JNE3440-KR-N-M,208,3
SET268-KR-NP-XXL,206,3
JNE3368-KR-XXXL,202,3
JNE3405-KR-XXL,201,4
JNE3399-KR-L,199,4
SET331-KR-NP-M,197,8
JNE3373-KR-M,196,4
SET345-KR-NP-S,192,9
J0341-DR-XXXL,192,7
SET268-KR-NP-XS,192,3
JNE3291-KR-L,189,5
JNE3373-KR-XL,187,4
JNE3440-KR-N-L,184,4
J0008-SKD-M,182,5
J0339-DR-XL,181,9
SET345-KR-NP-XL,181,9
JNE3800-KR-L,181,5
JNE3567-KR-L,180,3
J0119-TP-XXXL,180,7
JNE3567-KR-XL,177,4
SET268-KR-NP-M,176,3
SET331-KR-NP-L,175,7
SET324-KR-NP-S,173,7
SET291-KR-PP-L,173,6
J0003-SET-XL,171,5
J0119-TP-XL,170,7
JNE3801-KR-M,169,6
SET397-KR-NP  -M,166,7
JNE3440-KR-N-XXXL,165,7
JNE3798-KR-XL,165,6
SET110-KR-PP-M,164,4
JNE3399-KR-S,163,4
SET324-KR-NP-XXL,163,6
J0119-TP-XXL,161,6
JNE3797-KR-A-M,160,5
SET197-KR-NP-L,159,3
J0339-DR-M,159,8
SET187-KR-DH-XL,158,3
JNE3721-KR-XL,156,4
JNE3800-KR-M,156,6
JNE3440-KR-N-XS,155,6
JNE3291-KR-M,153,5
SET268-KR-NP-XXXL,151,3
J0341-DR-XS,151,9
SET278-KR-NP-M,150,6
JNE3784-KR-M,149,8
SET324-KR-NP-XS,149,5
SET331-KR-NP-S,148,7
J0335-DR-L,148,8
SET324-KR-NP-XL,148,5
SET345-KR-NP-XXL,147,8
J0008-SKD-S,146,6
JNE3468-KR-L,146,7
SET331-KR-NP-XL,144,5
J0008-SKD-L,143,5
JNE3784-KR-L,143,7
SET392-KR-NP-M,143,4
J0008-SKD-XS,141,5
JNE3510-KR-S,141,8
JNE3801-KR-XXL,140,6
SET264-KR-NP-M,140,3
J0301-TP-L,140,7
SET264-KR-NP-XL,139,3
JNE3721-KR-M,139,5
JNE3721-KR-L,139,5
JNE3468-KR-XL,138,7
J0301-TP-XL,138,7
JNE3801-KR-L,138,6
J0003-SET-L,136,5
JNE3291-KR-XXL,136,5
J0339-DR-L,135,7
SET374-KR-NP-L,135,8
SET273-KR-NP-S,134,3
JNE2305-KR-533-XL,134,5
J0119-TP-L,133,6
J0118-TP-XL,133,7
JNE2305-KR-533-M,131,5
SET110-KR-PP-S,131,4
SET345-KR-NP-XS,130,7
JNE3368-KR-XL,128,3
JNE3510-KR-M,128,7
JNE3487-KR-XL,128,4
JNE3373-KR-L,125,4
J0118-TP-XXXL,124,6
JNE3798-KR-M,124,6
SET331-KR-NP-XXXL,123,7
SET293-KR-NP-M,123,7
SET183-KR-DH-XXXL,122,2
JNE3613-KR-XL,122,3
JNE2014-KR-178-XL,121,4
SET291-KR-PP-S,121,6
JNE3784-KR-XL,120,7
SET397-KR-NP-S,120,7
JNE3468-KR-M,120,7
SET291-KR-PP-XL,119,6
SET374-KR-NP-M,119,8
JNE3797-KR-A-S,119,3
JNE3510-KR-XL,118,8
J0339-DR-XXL,118,8
SET374-KR-NP-XL,118,8
JNE3440-KR-N-XXL,117,4
JNE3801-KR-XL,117,4
J0301-TP-XXL,117,8
JNE3800-KR-XL,117,6
JNE3798-KR-XXL,116,6
JNE3798-KR-L,116,6
SET291-KR-PP-XXXL,115,6
JNE3781-KR-XL,115,6
J0349-SET-L,114,7
J0119-TP-M,113,6
J0230-SKD-XXL,113,8
JNE3510-KR-L,113,9
JNE3613-KR-L,113,4
JNE3465-KR-L,113,7
J0339-DR-S,112,8
JNE3568-KR-XL,112,3
SET345-KR-NP-XXXL,112,7
JNE3784-KR-XXL,112,7
J0349-SET-M,111,8
J0301-TP-M,111,8
JNE3465-KR-M,111,7
JNE3781-KR-XXXL,109,6
JNE3721-KR-XXL,109,4
J0118-TP-XXL,109,8
JNE3487-KR-L,109,4
JNE3800-KR-XXL,108,6
JNE3800-KR-S,107,7
SET304-KR-DPT-XS,106,5
JNE3618-KR-L,106,5
JNE3739-KR-L,105,4
JNE3468-KR-XXL,105,7
JNE3487-KR-XXL,105,5
SET374-KR-NP-S,104,8
J0349-SET-S,104,7
JNE2270-KR-487-A-XXL,104,4
SET324-KR-NP-XXXL,103,6
JNE3801-KR-S,103,7
J0117-TP-M,102,8
J0344-TP-L,102,9
JNE3368-KR-L,102,3
J0335-DR-XL,101,7
JNE3618-KR-XXL,101,6
JNE3461-KR-L,101,8
JNE3546-KR-L,100,6
SET278-KR-NP-S,99,5
JNE3546-KR-M,99,5
JNE3465-KR-XXL,99,6
SET374-KR-NP-XS,99,5
JNE3468-KR-XXXL,98,7
JNE3654-TP-M,98,4
JNE3373-KR-S,98,3
J0335-DR-M,97,8
J0157-DR-XXL,97,6
J0117-TP-XXL,97,8
J0343-DR-M,97,7
J0008-SKD-XL,97,5
J0117-TP-XL,97,6
JNE3465-KR-XXXL,95,6
JNE3546-KR-XL,95,5
J0344-TP-M,95,8
J0157-DR-L,94,6
JNE3568-KR-M,94,4
SET110-KR-PP-XS,94,4
J0339-DR-XXXL,94,9
JNE3618-KR-M,93,5
SET331-KR-NP-XXL,92,7
JNE3703-KR-M,92,4
SET197-KR-NP-XXL,92,2
JNE2014-KR-178-M,91,4
J0006-SET-M,91,5
SET374-KR-NP-XXL,90,7
SET269-KR-NP-L,90,4
J0343-DR-XL,90,9
JNE3798-KR-XXXL,90,2
JNE2014-KR-178-L,89,4
JNE3781-KR-XXL,89,5
SET183-KR-DH-XL,89,3
JNE3800-KR-XXXL,88,5
SET397-KR-NP-XS,88,6
SET304-KR-DPT-L,87,5
SET331-KR-NP-XS,87,6
MEN5009-KR-M,87,7
J0012-SKD-XL,87,6
SET293-KR-NP-XS,87,5
JNE3781-KR-L,87,5
J0340-TP-M,86,8
